scenario,participant,stage,buy_mwh,sell_mwh,purchase_eur,sales_eur,net_cash_eur,buy_vwap,sell_vwap,final_target_mwh,final_gap_mwh
High demand,PV_A,IDA2,0,0.50364173,0,72.15372880672001,72.15372880672001,,143.264,644.8214478,48.999422950000024
High demand,PV_A,IDA3,0,0.50364172,0,72.15372737408,72.15372737408,,143.264,644.8214478,48.999422950000024
High demand,W_C,ALL,9.6961525622,163.8786033795,1549.852331697426,23027.403703147273,21477.551371449845,159.8419911150587,140.51501067422345,124.35534662425,56.863540308249995
High demand,W_C,FM,0,32.613392304499996,0,3284.6345106675,3284.6345106675,,100.71428571428572,124.35534662425,56.863540308249995
High demand,W_C,DAM,0,13.977168139,0,2115.04596518452,2115.04596518452,,151.3214940359043,124.35534662425,56.863540308249995
High demand,W_C,IDA1,0,105.984974036,0,16039.042984193551,16039.042984193551,,151.3331784064556,124.35534662425,56.863540308249995
High demand,W_C,IDA2,3.3708315922,6.799281,539.523829710096,955.659342393,416.13551268290394,160.05659581408264,140.553,124.35534662425,56.863540308249995
High demand,W_C,IDA3,6.32532097,4.5037879,1010.32850198733,633.0209007087,-377.30760127863005,159.727625962249,140.553,124.35534662425,56.863540308249995
High demand,W_A,ALL,10.591311430000001,166.153370974,1738.49961686009,24997.60184947723,23259.102232617137,164.14394273553052,150.44895991540793,124.35534662425,53.99524264675
High demand,W_A,FM,0,0,0,0,0,,,124.35534662425,53.99524264675
High demand,W_A,DAM,0,46.59056066,0,7050.1532460606995,7050.1532460606995,,151.3214940148501,124.35534662425,53.99524264675
High demand,W_A,IDA1,0,108.239796444,0,16355.965034946417,16355.965034946417,,151.10860859211334,124.35534662425,53.99524264675
High demand,W_A,IDA2,3.5229773100000004,6.799281,561.03032111077,955.659342393,394.6290212822299,159.2489169652841,140.553,124.35534662425,53.99524264675
High demand,W_A,IDA3,7.06833412,4.52373287,1177.46929574932,635.82422607711,-541.6450696722101,166.58370639520928,140.553,124.35534662425,53.99524264675
No revision,DKL_ICE_H,ALL,2.4317742e-08,2518.084636,3.0470130726e-06,362840.5548908,362840.554887753,,144.0938678960273,,
No revision,DKL_ICE_H,FM,0,0,0,0,0,,,,
No revision,DKL_ICE_H,DAM,0,2518.084636,0,362840.5548908,362840.5548908,,144.0938678960273,,
No revision,DKL_ICE_H,IDA1,2.4317742e-08,0,3.0470130726e-06,0,-3.0470130726e-06,,,,
No revision,DKL_ICE_H,IDA2,0,0,0,0,0,,,,
No revision,DKL_ICE_H,IDA3,0,0,0,0,0,,,,
No revision,VAS_ST_H,ALL,1.044665815e-05,6298.500731,0.001360572757456,939646.59520544,939646.5938448672,,149.18575631509916,,
No revision,VAS_ST_H,FM,0,0,0,0,0,,,,
No revision,VAS_ST_H,DAM,0,6298.500731,0,939646.59520544,939646.59520544,,149.18575631509916,,
