scenario,contract,seller,buyer,period,quantity_mwh,price_eur_mwh
Low RES,W_RESI,W_C,RESI,20,0.07074262607500001,105.0
Low RES,W_RESI,W_C,RESI,21,0.0389026532,105.0
Low RES,W_RESI,W_C,RESI,22,0.0389026532,105.0
Low RES,W_RESI,W_C,RESI,23,0.020609142724999998,105.0
Low RES,W_RESI,W_C,RESI,24,0.020609142724999998,105.0
Low RES,W_RESI,W_C,RESI,25,0.023156342125000003,105.0
Low RES,W_RESI,W_C,RESI,26,0.023156342125000003,105.0
Low RES,W_RESI,W_C,RESI,27,0.015862094650000002,105.0
Low RES,W_RESI,W_C,RESI,28,0.015862094650000002,105.0
Low RES,W_RESI,W_C,RESI,29,0.0188724205,105.0
Low RES,W_RESI,W_C,RESI,30,0.0188724205,105.0
Low RES,W_RESI,W_C,RESI,31,0.039018436775000005,105.0
Low RES,W_RESI,W_C,RESI,32,0.039018436775000005,105.0
Low RES,W_RESI,W_C,RESI,33,0.10605604732500001,105.0
Low RES,W_RESI,W_C,RESI,34,0.10605604732500001,105.0
Low RES,W_RESI,W_C,RESI,35,0.12955973625,105.0
Low RES,W_RESI,W_C,RESI,36,0.12955973625,105.0
Low RES,W_RESI,W_C,RESI,37,0.08857301010000002,105.0
Low RES,W_RESI,W_C,RESI,38,0.08857301010000002,105.0
Low RES,W_RESI,W_C,RESI,39,0.057890857275,105.0
Low RES,W_RESI,W_C,RESI,40,0.057890857275,105.0
Low RES,W_RESI,W_C,RESI,41,0.042028762625,105.0
Low RES,W_RESI,W_C,RESI,42,0.042028762625,105.0
Low RES,W_RESI,W_C,RESI,43,0.05522787430000001,105.0
Low RES,W_RESI,W_C,RESI,44,0.05522787430000001,105.0
Low RES,W_RESI,W_C,RESI,45,0.061248526000000005,105.0
Low RES,W_RESI,W_C,RESI,46,0.061248526000000005,105.0
Low RES,W_RESI,W_C,RESI,47,0.05962757950000001,105.0
Low RES,W_RESI,W_C,RESI,48,0.05962757950000001,105.0
High RES,PV_COM,PV_C,COM,1,0.0,85.0
High RES,PV_COM,PV_C,COM,2,0.0,85.0
High RES,PV_COM,PV_C,COM,3,0.0,85.0
High RES,PV_COM,PV_C,COM,4,0.0,85.0
High RES,PV_COM,PV_C,COM,5,0.0,85.0
High RES,PV_COM,PV_C,COM,6,0.0,85.0
High RES,PV_COM,PV_C,COM,7,0.0,85.0
High RES,PV_COM,PV_C,COM,8,0.0,85.0
High RES,PV_COM,PV_C,COM,9,0.0,85.0
High RES,PV_COM,PV_C,COM,10,0.0,85.0
